track_id,mood_label,lang_bucket,year_bucket,status,has_preview,preview_url,deezer_id
72PVbRKkUimweUPV0nKAPs,happy,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/5/d/4/0/5d4e17af01b5437d865f1786001969dd.mp3?hdnea=exp=1781592004~acl=/api/1/1/5/d/4/0/5d4e17af01b5437d865f1786001969dd.mp3*~data=user_id=0,application_id=42~hmac=3c521cc7f8a24f0b711fd21d18c05e2e77515ee00bc59041f8d226347c572440",3454558651.0
3J3wJVAIe0HmPWaD9vSsGQ,energetic,likely_western_other,2020_plus,error:ConnectionError,False,,
2RiFPO2xWSEOcpAuC5vrm6,sad,likely_western_other,pre_2010,error:ReadTimeout,False,,
4BaZDllfIcJM62yjQyHcOE,happy,likely_western_other,2010_2019,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/9/a/b/0/9ab7a6391097442784825a00703d0476.mp3?hdnea=exp=1781592104~acl=/api/1/1/9/a/b/0/9ab7a6391097442784825a00703d0476.mp3*~data=user_id=0,application_id=42~hmac=687bceec1e2ee3b26b8902a3502dcbc541c0f1c126b1e25b0949032888ec220d",3025888161.0
3aAcQuFI7YzUnWk7BmrO0I,sad,likely_western_other,2020_plus,not_found,False,,
3GYlZ7tbxLOxe6ewMNVTkw,calm,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/f/c/9/0/fc95b8de262354da399a47978d42d817.mp3?hdnea=exp=1781592120~acl=/api/1/1/f/c/9/0/fc95b8de262354da399a47978d42d817.mp3*~data=user_id=0,application_id=42~hmac=92de8471d85689349dfaa482bfeeddc7bc54c93a4f1e540123ed7dab2f1dd556",2064145737.0
3x7Hh3zsE1wcXCU2G8l5tP,happy,likely_western_other,2020_plus,error:ConnectionError,False,,
3Dh9o0cboGEOvQ3kYPWv1H,stressed,likely_western_other,2020_plus,error:ConnectionError,False,,
7DkH8kMdaAAAjrZcbnxjj5,happy,likely_western_other,2020_plus,matched_fuzzy,True,"https://cdnt-preview.dzcdn.net/api/1/1/3/6/a/0/36a1f332e69ab6e4ab5e726881bf4639.mp3?hdnea=exp=1781592144~acl=/api/1/1/3/6/a/0/36a1f332e69ab6e4ab5e726881bf4639.mp3*~data=user_id=0,application_id=42~hmac=737f6e2ae9783d580f8f24b8539be494183ba4cf1f717274748970c2c95f830a",2799968762.0
6wXmN3g47fW7iyLNQ3UwCn,romantic,likely_vn,2010_2019,error:ConnectionError,False,,
1LZ4HQWnhZlGx4sKQFNZ7i,sad,likely_western_other,2020_plus,error:ConnectionError,False,,
2RXX6oeWyG8HId9b3Rph9b,sad,likely_western_other,2010_2019,error:ConnectionError,False,,
5LLH7MYj1RDH5jsIa76gFC,happy,likely_vn,2020_plus,matched_fuzzy,True,"https://cdnt-preview.dzcdn.net/api/1/1/c/f/7/0/cf70e54fa3a6408870ac98c2e4dcea37.mp3?hdnea=exp=1781592181~acl=/api/1/1/c/f/7/0/cf70e54fa3a6408870ac98c2e4dcea37.mp3*~data=user_id=0,application_id=42~hmac=0d5a5ed920060726bfd12a8fc5db476ac5bd90ba5bdaae5291044ef2bf0dd53a",2823698252.0
1Dq5By1yUrOB0zSxhCc5v8,sad,likely_western_other,2020_plus,error:ConnectionError,False,,
0vtJ9Dq53hfXE3KyP1yPni,happy,likely_western_other,pre_2010,error:ConnectionError,False,,
6GAcDG7qIaXFITlZhKXCbu,happy,likely_western_other,2010_2019,not_found,False,,
5eRVs0QyysvRSS8hwTsJJQ,happy,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/c/e/c/0/cec280f7eea0c6823c8cdb44e89f86aa.mp3?hdnea=exp=1781592224~acl=/api/1/1/c/e/c/0/cec280f7eea0c6823c8cdb44e89f86aa.mp3*~data=user_id=0,application_id=42~hmac=599752ec4f64d9b250c541335e5ed4c7d7815d943aa8e23981b7348f596d24d6",2704452202.0
21B4gaTWnTkuSh77iWEXdS,calm,likely_western_other,2020_plus,error:ConnectionError,False,,
